Fecha,Media móvil semanal de casos nuevos,Media móvil semanal de recuperados nuevos,Media móvil semanal de fallecidos nuevos
2022-04-15,20.86,27.29,0.14
2022-04-16,21.14,27.14,0.14
2022-04-17,20.57,25.86,0.29
2022-04-18,19.71,24.71,0.29
2022-04-19,18.71,21.57,0.29
2022-04-20,17.29,20.86,0.29
2022-04-21,17.43,19.14,0.14
2022-04-22,16.29,18.0,0.14
2022-04-23,16.71,15.86,0.14
2022-04-24,18.14,15.57,0.0
2022-04-25,18.14,16.0,0.0
2022-04-26,18.14,16.57,0.0
2022-04-27,19.43,15.71,0.0
2022-04-28,20.29,16.43,0.0
2022-04-29,21.14,17.29,0.0
2022-04-30,22.43,18.43,0.0
2022-05-01,21.71,19.14,0.0
