Fecha,Positividad diaria,Positividad media movil *
2020-10-22,4.78,3.87
2020-10-23,3.91,3.84
2020-10-24,3.0,3.71
2020-10-25,2.96,3.7
2020-10-26,3.74,3.6
2020-10-27,4.9,4.01
2020-10-28,4.76,4.01
2020-10-29,3.89,3.88
2020-10-30,4.86,4.02
2020-10-31,3.2,4.04
2020-11-01,2.98,4.05
2020-11-02,2.53,3.87
2020-11-03,1.61,3.41
2020-11-04,5.69,3.54
2020-11-05,4.12,3.57
2020-11-06,4.99,3.59
2020-11-07,3.73,3.67
2020-11-08,3.97,3.81
2020-11-09,3.22,3.91
2020-11-10,4.39,4.3
2020-11-11,6.38,4.4
2020-11-12,6.55,4.75
2020-11-13,5.04,4.76
2020-11-14,2.61,4.6
2020-11-15,2.83,4.43
2020-11-16,1.19,4.14
2020-11-17,2.87,3.93
2020-11-18,4.38,3.64
2020-11-19,2.65,3.08
2020-11-20,3.15,2.81
2020-11-21,2.56,2.8
2020-11-22,2.15,2.71
2020-11-23,2.17,2.85
2020-11-24,1.3,2.62
2020-11-25,4.37,2.62
2020-11-26,4.55,2.89
2020-11-27,5.19,3.18
2020-11-28,5.37,3.59
2020-11-29,2.28,3.6
2020-11-30,1.51,3.51
2020-12-01,3.18,3.78
2020-12-02,2.25,3.48
2020-12-03,2.64,3.2
2020-12-04,5.34,3.23
2020-12-05,0.86,2.58
2020-12-06,4.7,2.93
2020-12-07,4.2,3.31
2020-12-08,1.86,3.12
2020-12-09,4.1,3.39
2020-12-10,3.14,3.46
2020-12-11,8.95,3.97
2020-12-12,1.2,4.02
2020-12-13,4.74,4.03
2020-12-14,3.75,3.96
2020-12-15,4.01,4.27
2020-12-16,7.19,4.71
2020-12-17,6.79,5.23
2020-12-18,7.65,5.05
2020-12-19,6.2,5.76
2020-12-20,7.03,6.09
2020-12-21,4.31,6.17
2020-12-22,7.19,6.62
2020-12-23,9.34,6.93
2020-12-24,7.3,7.0
2020-12-25,9.15,7.22
2020-12-26,7.92,7.46
2020-12-27,8.81,7.72
2020-12-28,13.73,9.06
2020-12-29,7.0,9.04
2020-12-30,19.22,10.45
2020-12-31,6.96,10.4
2021-01-01,14.68,11.19
2021-01-02,11.62,11.72
2021-01-03,9.07,11.76
2021-01-04,12.35,11.56
2021-01-05,17.12,13.0
2021-01-06,15.99,12.54
2021-01-07,13.46,13.47
2021-01-08,12.69,13.18
2021-01-09,13.06,13.39
2021-01-10,12.22,13.84
2021-01-11,13.52,14.01
2021-01-12,10.12,13.01
2021-01-13,14.85,12.84
2021-01-14,19.28,13.67
2021-01-15,18.93,14.57
2021-01-16,8.68,13.94
2021-01-17,11.66,13.86
2021-01-18,9.21,13.25
2021-01-19,13.53,13.73
2021-01-20,10.77,13.15
2021-01-21,12.59,12.19
2021-01-22,11.35,11.11
2021-01-23,9.89,11.28
2021-01-24,9.69,11.0
2021-01-25,12.68,11.5
2021-01-26,12.49,11.35
2021-01-27,16.27,12.13
2021-01-28,12.84,12.17
2021-01-29,10.61,12.07
2021-01-30,9.36,11.99
2021-01-31,11.38,12.23
2021-02-01,5.49,11.2
2021-02-02,12.65,11.23
2021-02-03,13.23,10.79
2021-02-04,10.03,10.39
2021-02-05,9.39,10.22
2021-02-06,7.78,9.99
2021-02-07,8.57,9.59
2021-02-08,7.57,9.89
2021-02-09,8.3,9.27
2021-02-10,21.19,10.4
2021-02-11,10.6,10.49
2021-02-12,12.95,10.99
2021-02-13,12.45,11.66
2021-02-14,12.17,12.18
2021-02-15,7.18,12.12
2021-02-16,13.94,12.93
2021-02-17,12.78,11.72
2021-02-18,11.75,11.89
2021-02-19,10.92,11.6
2021-02-20,11.88,11.52
2021-02-21,9.12,11.08
2021-02-22,7.6,11.14
2021-02-23,12.36,10.91
2021-02-24,20.74,12.05
2021-02-25,11.03,11.95
2021-02-26,11.07,11.97
2021-02-27,10.49,11.77
2021-02-28,8.28,11.65
2021-03-01,4.14,11.16
2021-03-02,5.37,10.16
2021-03-03,20.63,10.15
2021-03-04,9.51,9.93
2021-03-05,9.09,9.65
2021-03-06,5.03,8.87
2021-03-07,4.16,8.28
2021-03-08,3.17,8.14
2021-03-09,7.89,8.5
2021-03-10,12.23,7.3
2021-03-11,7.99,7.08
2021-03-12,12.35,7.55
2021-03-13,12.88,8.67
2021-03-14,11.47,9.71
2021-03-15,6.04,10.12
2021-03-16,8.66,10.23
2021-03-17,22.87,11.75
2021-03-18,8.84,11.87
2021-03-19,10.31,11.58
2021-03-20,9.38,11.08
2021-03-21,9.04,10.73
2021-03-22,7.2,10.9
2021-03-23,9.73,11.05
2021-03-24,23.84,11.19
2021-03-25,13.94,11.92
2021-03-26,13.21,12.33
2021-03-27,13.05,12.86
2021-03-28,11.29,13.18
2021-03-29,4.31,12.77
2021-03-30,12.21,13.12
2021-03-31,20.84,12.69
2021-04-01,12.61,12.51
2021-04-02,7.16,11.64
2021-04-03,17.04,12.21
2021-04-04,10.2,12.05
2021-04-05,6.82,12.41
2021-04-06,12.31,12.43
2021-04-07,28.55,13.53
2021-04-08,11.09,13.31
2021-04-09,13.49,14.21
2021-04-10,14.1,13.79
2021-04-11,11.11,13.92
2021-04-12,8.5,14.16
2021-04-13,10.69,13.93
2021-04-14,15.34,12.05
2021-04-15,12.77,12.29
2021-04-16,8.94,11.64
2021-04-17,12.14,11.36
2021-04-18,7.46,10.84
2021-04-19,5.87,10.46
2021-04-20,7.02,9.93
2021-04-21,13.15,9.62
2021-04-22,8.89,9.07
2021-04-23,9.31,9.12
2021-04-24,8.24,8.56
2021-04-25,8.27,8.68
2021-04-26,6.01,8.7
2021-04-27,6.25,8.59
2021-04-28,11.86,8.4
2021-04-29,7.97,8.27
2021-04-30,9.55,8.31
2021-05-01,8.61,8.36
2021-05-02,6.43,8.1
2021-05-03,8.27,8.42
2021-05-04,12.11,9.26
2021-05-05,8.04,8.71
2021-05-06,5.22,8.32
2021-05-07,11.27,8.56
2021-05-08,9.23,8.65
2021-05-09,7.53,8.81
2021-05-10,4.87,8.32
2021-05-11,8.31,7.78
2021-05-12,4.16,7.23
2021-05-13,5.72,7.3
2021-05-14,10.3,7.16
2021-05-15,7.38,6.89
2021-05-16,5.77,6.64
2021-05-17,5.58,6.74
2021-05-18,5.76,6.38
2021-05-19,6.29,6.68
2021-05-20,5.83,6.7
2021-05-21,7.63,6.32
2021-05-22,6.42,6.18
2021-05-23,5.24,6.11
2021-05-24,5.22,6.05
2021-05-25,4.78,5.92
2021-05-26,3.17,5.47
2021-05-27,5.01,5.35
2021-05-28,7.58,5.35
2021-05-29,7.69,5.53
2021-05-30,5.8,5.61
2021-05-31,4.2,5.46
2021-06-01,5.08,5.5
2021-06-02,7.9,6.18
2021-06-03,4.3,6.08
2021-06-04,4.62,5.65
2021-06-05,6.63,5.5
2021-06-06,5.43,5.45
2021-06-07,3.82,5.4
2021-06-08,9.47,6.02
2021-06-09,2.57,5.26
2021-06-10,4.33,5.27
2021-06-11,7.15,5.63
2021-06-12,5.85,5.52
2021-06-13,3.68,5.27
2021-06-14,3.49,5.22
