Fecha,Incidencia regional estimada,Incidencia Iquique estimada,Incidencia Tamarugal estimada
2020-08-29,8.69,7.55,18.24
2020-08-30,8.25,6.88,17.64
2020-08-31,10.98,9.82,23.46
2020-09-01,10.6,9.69,18.25
2020-09-02,9.59,8.88,14.74
2020-09-03,9.64,9.65,8.55
2020-09-04,10.5,9.87,11.99
2020-09-05,9.86,8.57,9.55
2020-09-06,7.31,7.0,8.5
2020-09-07,12.13,11.33,11.38
2020-09-08,10.45,10.41,9.79
2020-09-09,11.68,11.81,8.27
2020-09-10,9.57,8.35,11.12
2020-09-11,7.59,6.91,8.58
2020-09-12,7.12,6.31,7.22
2020-09-13,5.98,5.54,7.74
2020-09-14,8.34,7.8,10.17
2020-09-15,10.96,8.77,11.41
2020-09-16,9.25,7.38,9.47
2020-09-17,10.54,8.14,8.73
2020-09-18,6.64,6.03,7.83
2020-09-19,5.9,5.58,5.42
2020-09-20,5.36,4.95,6.74
2020-09-21,9.69,8.16,9.81
2020-09-22,9.95,8.16,9.89
2020-09-23,10.31,7.32,9.86
2020-09-24,9.18,7.6,8.6
2020-09-25,9.22,7.4,8.17
2020-09-26,10.0,7.83,6.4
2020-09-27,8.25,6.01,9.19
2020-09-28,12.12,9.06,11.11
2020-09-29,15.43,10.24,9.55
2020-09-30,11.65,8.42,8.7
2020-10-01,9.96,7.62,9.66
2020-10-02,8.51,7.26,7.68
2020-10-03,8.26,7.06,7.37
2020-10-04,5.67,5.38,7.13
2020-10-05,8.45,8.07,5.83
2020-10-06,8.6,7.72,8.29
2020-10-07,14.28,9.08,5.89
2020-10-08,14.14,9.19,6.96
2020-10-09,10.42,8.1,5.34
2020-10-10,7.41,6.65,4.95
2020-10-11,6.32,5.54,6.62
2020-10-12,7.72,7.61,6.48
2020-10-13,8.28,7.7,9.14
2020-10-14,8.15,7.37,6.82
2020-10-15,8.85,7.89,5.82
2020-10-16,8.83,7.66,6.87
2020-10-17,7.8,7.11,7.9
2020-10-18,6.34,6.15,5.75
2020-10-19,10.43,10.19,7.51
2020-10-20,10.51,9.85,7.74
2020-10-21,9.91,10.16,6.62
2020-10-22,10.91,9.96,8.89
2020-10-23,8.79,8.8,6.91
2020-10-24,11.08,11.57,6.47
2020-10-25,6.94,7.3,5.85
2020-10-26,13.04,13.38,11.36
2020-10-27,9.05,9.84,8.65
2020-10-28,12.24,12.06,17.45
2020-10-29,7.91,7.64,12.32
2020-10-30,8.06,7.54,15.69
2020-10-31,6.47,5.84,13.7
2020-11-01,6.62,6.09,17.19
2020-11-02,11.43,10.78,20.57
2020-11-03,12.75,10.33,38.48
2020-11-04,10.54,9.34,28.06
2020-11-05,12.88,9.54,45.48
2020-11-06,10.06,8.55,21.83
2020-11-07,7.79,6.73,21.78
2020-11-08,7.14,5.62,23.18
2020-11-09,13.87,10.2,47.75
2020-11-10,8.84,8.61,15.76
2020-11-11,8.86,7.53,19.69
2020-11-12,7.98,7.24,13.27
2020-11-13,8.74,7.17,19.0
2020-11-14,7.29,6.32,12.5
2020-11-15,7.08,6.47,8.84
2020-11-16,9.33,8.9,8.82
2020-11-17,9.82,9.74,6.94
2020-11-18,7.25,7.4,5.92
2020-11-19,7.83,8.11,7.32
2020-11-20,7.32,7.36,5.32
2020-11-21,6.72,6.68,6.33
2020-11-22,5.45,6.2,5.71
2020-11-23,13.45,13.46,9.74
