Fecha,Mortalidad específica por cien mil habitantes
2020-11-15,64.27
2020-11-16,64.53
2020-11-17,64.53
2020-11-18,64.53
2020-11-19,64.79
2020-11-20,64.79
2020-11-21,65.05
2020-11-22,65.31
2020-11-23,65.57
2020-11-24,65.57
2020-11-25,65.57
2020-11-26,66.1
2020-11-27,66.1
2020-11-28,66.62
2020-11-29,67.14
2020-11-30,67.4
2020-12-01,67.4
2020-12-02,67.4
2020-12-03,67.66
2020-12-04,67.66
2020-12-05,67.93
2020-12-06,67.93
2020-12-07,67.93
2020-12-08,67.93
2020-12-09,67.93
2020-12-10,68.19
2020-12-11,68.19
2020-12-12,68.71
2020-12-13,68.71
2020-12-14,69.23
2020-12-15,69.23
2020-12-16,69.23
2020-12-17,69.75
2020-12-18,70.28
2020-12-19,70.54
2020-12-20,71.06
2020-12-21,71.06
2020-12-22,71.06
2020-12-23,71.06
2020-12-24,71.58
2020-12-25,71.58
2020-12-26,71.58
2020-12-27,71.84
2020-12-28,71.84
2020-12-29,71.84
2020-12-30,71.84
2020-12-31,74.2
2021-01-01,74.98
2021-01-02,75.5
2021-01-03,75.76
2021-01-04,75.76
2021-01-05,76.02
2021-01-06,76.02
2021-01-07,77.33
2021-01-08,77.85
2021-01-09,78.38
2021-01-10,79.16
2021-01-11,79.68
2021-01-12,79.68
2021-01-13,79.68
2021-01-14,80.73
2021-01-15,81.25
2021-01-16,82.03
2021-01-17,82.29
2021-01-18,83.34
2021-01-19,83.34
2021-01-20,83.34
2021-01-21,84.91
2021-01-22,86.21
2021-01-23,86.74
2021-01-24,87.78
2021-01-25,88.3
2021-01-26,88.3
2021-01-27,88.3
2021-01-28,90.39
2021-01-29,91.96
2021-01-30,92.22
2021-01-31,92.48
2021-02-01,93.27
2021-02-02,93.27
2021-02-03,93.01
2021-02-04,95.88
2021-02-05,96.14
2021-02-06,97.19
2021-02-07,98.23
2021-02-08,99.01
2021-02-09,99.01
2021-02-10,99.01
2021-02-11,99.8
2021-02-12,100.32
2021-02-13,101.1
2021-02-14,101.37
2021-02-15,102.15
2021-02-16,102.15
2021-02-17,102.15
2021-02-18,102.93
2021-02-19,103.98
2021-02-20,104.5
2021-02-21,105.28
2021-02-22,106.33
2021-02-23,106.59
2021-02-24,106.59
2021-02-25,108.42
2021-02-26,109.46
2021-02-27,110.25
2021-02-28,112.6
2021-03-01,112.86
2021-03-02,112.86
2021-03-03,113.12
2021-03-04,115.73
2021-03-05,117.3
2021-03-06,117.82
2021-03-07,118.09
2021-03-08,119.13
2021-03-09,119.13
2021-03-10,119.13
2021-03-11,121.22
2021-03-12,122.53
2021-03-13,123.05
2021-03-14,124.36
2021-03-15,124.62
2021-03-16,124.62
2021-03-17,124.62
2021-03-18,126.18
2021-03-19,126.71
2021-03-20,127.49
2021-03-21,127.49
2021-03-22,128.01
2021-03-23,128.01
2021-03-24,128.01
2021-03-25,129.06
2021-03-26,129.32
2021-03-27,129.58
2021-03-28,129.84
2021-03-29,132.72
2021-03-30,132.98
2021-03-31,132.98
2021-04-01,134.54
2021-04-02,136.11
2021-04-03,136.9
2021-04-04,138.46
2021-04-05,138.46
2021-04-06,139.25
2021-04-07,139.25
2021-04-08,142.38
2021-04-09,143.95
2021-04-10,144.73
2021-04-11,146.56
2021-04-12,148.13
2021-04-13,148.13
2021-04-14,148.13
2021-04-15,150.22
2021-04-16,151.53
2021-04-17,152.05
2021-04-18,152.57
2021-04-19,152.57
2021-04-20,152.57
2021-04-21,152.57
2021-04-22,154.92
2021-04-23,155.44
2021-04-24,155.71
2021-04-25,156.23
2021-04-26,157.27
2021-04-27,157.27
2021-04-28,157.53
2021-04-29,159.36
2021-04-30,160.15
2021-05-01,160.41
2021-05-02,161.71
2021-05-03,162.24
2021-05-04,162.24
2021-05-05,162.24
2021-05-06,164.07
2021-05-07,164.85
2021-05-08,165.63
2021-05-09,166.42
2021-05-10,166.42
2021-05-11,166.42
2021-05-12,166.42
2021-05-13,167.72
2021-05-14,168.25
2021-05-15,168.51
2021-05-16,169.03
2021-05-17,169.29
2021-05-18,169.29
2021-05-19,169.29
2021-05-20,170.86
2021-05-21,171.38
2021-05-22,172.43
2021-05-23,172.43
2021-05-24,172.43
2021-05-25,172.43
2021-05-26,172.43
2021-05-27,174.25
2021-05-28,174.25
2021-05-29,174.52
2021-05-30,175.3
2021-05-31,176.08
2021-06-01,176.08
2021-06-02,176.08
2021-06-03,177.39
2021-06-04,177.91
2021-06-05,178.17
2021-06-06,178.43
2021-06-07,178.96
2021-06-08,179.74
2021-06-09,179.74
2021-06-10,180.79
2021-06-11,181.83
2021-06-12,182.88
2021-06-13,183.4
2021-06-14,184.18
2021-06-15,184.18
2021-06-16,184.18
2021-06-17,185.49
2021-06-18,185.75
2021-06-19,186.53
2021-06-20,187.06
2021-06-21,187.32
2021-06-22,187.32
2021-06-23,187.32
2021-06-24,187.32
2021-06-25,188.36
2021-06-26,189.15
2021-06-27,189.67
2021-06-28,191.5
