Fecha,Crecimiento diario *,Crecimiento semanal *
2020-10-09,0.58,0.76
2020-10-10,1.83,0.59
2020-10-11,2.03,0.77
2020-10-12,0.39,0.78
2020-10-13,0.81,0.77
2020-10-14,1.43,0.84
2020-10-15,0.5,0.84
2020-10-16,2.33,0.98
2020-10-17,1.09,1.18
2020-10-18,0.5,0.79
2020-10-19,1.89,0.84
2020-10-20,0.64,0.89
2020-10-21,1.87,0.92
2020-10-22,0.72,1.07
2020-10-23,1.23,1.0
2020-10-24,0.74,0.94
2020-10-25,1.11,1.25
2020-10-26,1.26,1.2
2020-10-27,1.0,1.27
2020-10-28,0.87,1.15
2020-10-29,0.79,1.05
2020-10-30,1.7,1.07
2020-10-31,1.22,1.25
2020-11-01,0.48,1.17
2020-11-02,1.19,1.12
2020-11-03,0.22,0.92
2020-11-04,3.57,0.92
2020-11-05,1.48,0.97
2020-11-06,1.46,0.98
2020-11-07,0.65,0.8
2020-11-08,1.23,0.87
2020-11-09,1.0,0.93
2020-11-10,1.09,1.24
2020-11-11,0.57,1.3
2020-11-12,1.93,1.31
2020-11-13,0.87,1.23
2020-11-14,0.58,1.3
2020-11-15,1.12,1.15
2020-11-16,0.21,0.95
2020-11-17,8.67,0.83
2020-11-18,0.54,0.83
2020-11-19,0.96,0.71
2020-11-20,1.41,0.71
2020-11-21,0.71,0.73
2020-11-22,0.78,0.74
2020-11-23,1.38,0.96
2020-11-24,0.38,0.76
2020-11-25,3.09,0.79
2020-11-26,1.62,1.01
2020-11-27,0.85,1.09
2020-11-28,0.81,1.14
2020-11-29,0.45,1.16
2020-11-30,1.65,1.04
2020-12-01,1.25,1.4
2020-12-02,0.23,1.22
2020-12-03,2.62,0.9
2020-12-04,2.19,0.86
2020-12-05,0.11,0.68
2020-12-06,8.4,0.8
2020-12-07,1.67,0.99
2020-12-08,0.26,0.83
2020-12-09,1.5,1.0
2020-12-10,1.26,1.25
2020-12-11,1.5,1.28
2020-12-12,0.04,1.52
2020-12-13,0.04,1.54
2020-12-14,0.62,1.17
2020-12-15,1.41,1.52
2020-12-16,1.06,1.61
2020-12-17,1.08,1.72
2020-12-18,0.66,1.7
2020-12-19,1.13,1.96
2020-12-20,1.1,1.63
2020-12-21,0.96,1.8
2020-12-22,1.47,1.56
2020-12-23,0.68,1.32
2020-12-24,1.42,1.19
2020-12-25,1.02,1.27
2020-12-26,1.04,1.19
2020-12-27,1.04,1.3
2020-12-28,0.63,1.27
2020-12-29,1.22,1.18
2020-12-30,1.59,1.33
2020-12-31,0.63,1.28
2021-01-01,2.09,1.32
2021-01-02,0.67,1.26
2021-01-03,0.93,1.19
2021-01-04,1.01,1.25
2021-01-05,2.19,1.54
2021-01-06,0.61,1.42
2021-01-07,0.93,1.53
2021-01-08,2.1,1.52
2021-01-09,0.68,1.6
2021-01-10,1.01,1.71
2021-01-11,0.94,1.71
2021-01-12,1.17,1.41
2021-01-13,0.96,1.45
2021-01-14,1.45,1.53
2021-01-15,0.86,1.35
2021-01-16,0.62,1.24
2021-01-17,1.55,1.19
2021-01-18,0.87,1.15
2021-01-19,0.88,1.15
2021-01-20,1.36,1.14
2021-01-21,0.92,0.98
2021-01-22,0.71,0.94
2021-01-23,1.03,0.97
2021-01-24,1.09,0.9
2021-01-25,0.88,0.86
2021-01-26,0.78,0.83
2021-01-27,1.65,0.78
2021-01-28,0.65,0.75
2021-01-29,1.5,0.82
2021-01-30,0.63,0.78
2021-01-31,1.13,0.79
2021-02-01,0.62,0.76
2021-02-02,4.51,1.01
2021-02-03,0.4,1.01
2021-02-04,1.05,1.13
2021-02-05,0.74,1.03
2021-02-06,1.12,1.08
2021-02-07,0.81,1.09
2021-02-08,1.23,1.22
2021-02-09,0.86,0.75
2021-02-10,0.88,0.73
2021-02-11,1.2,0.68
2021-02-12,1.14,0.73
2021-02-13,0.99,0.73
2021-02-14,1.02,0.77
2021-02-15,0.75,0.72
2021-02-16,0.89,0.9
2021-02-17,0.8,0.92
2021-02-18,2.58,1.05
2021-02-19,0.57,1.0
2021-02-20,1.08,0.97
2021-02-21,1.08,0.93
2021-02-22,0.79,0.95
2021-02-23,0.98,0.98
2021-02-24,0.64,1.0
2021-02-25,2.97,0.91
2021-02-26,0.62,0.95
2021-02-27,1.1,0.98
2021-02-28,0.78,0.96
2021-03-01,0.56,0.91
2021-03-02,1.04,0.86
2021-03-03,1.86,0.93
2021-03-04,1.15,0.86
2021-03-05,0.98,0.86
2021-03-06,0.1,0.7
2021-03-07,1.58,0.63
2021-03-08,2.11,0.65
2021-03-09,2.35,0.74
2021-03-10,3.44,0.99
2021-03-11,0.41,1.09
2021-03-12,1.23,1.14
2021-03-13,1.0,1.64
2021-03-14,1.09,2.22
2021-03-15,0.63,2.44
2021-03-16,0.67,2.22
2021-03-17,1.04,1.22
2021-03-18,2.18,1.26
2021-03-19,0.89,1.17
2021-03-20,0.84,0.94
2021-03-21,1.27,0.79
2021-03-22,0.97,0.78
2021-03-23,1.0,0.87
2021-03-24,1.12,1.21
2021-03-25,1.2,1.21
2021-03-26,0.9,1.27
2021-03-27,0.93,1.37
2021-03-28,0.94,1.4
2021-03-29,0.52,1.26
2021-03-30,1.68,1.14
2021-03-31,1.59,1.09
2021-04-01,1.03,1.07
2021-04-02,0.72,1.02
2021-04-03,1.21,1.0
2021-04-04,0.81,1.0
2021-04-05,0.66,1.08
2021-04-06,1.48,1.11
2021-04-07,1.46,1.07
2021-04-08,0.94,1.04
2021-04-09,1.09,1.12
2021-04-10,0.81,1.09
2021-04-11,0.85,1.08
2021-04-12,0.85,1.09
2021-04-13,1.29,1.09
2021-04-14,0.81,1.01
2021-04-15,1.47,1.02
2021-04-16,0.84,0.92
2021-04-17,0.9,0.91
2021-04-18,0.94,0.9
2021-04-19,0.71,0.86
2021-04-20,1.31,0.82
2021-04-21,1.33,0.91
2021-04-22,0.94,0.88
2021-04-23,0.8,0.89
2021-04-24,0.79,0.87
2021-04-25,1.18,0.86
2021-04-26,1.09,0.91
2021-04-27,0.9,0.93
2021-04-28,1.15,0.86
2021-04-29,1.11,0.87
2021-04-30,0.88,0.91
2021-05-01,0.9,0.97
2021-05-02,1.02,0.99
2021-05-03,1.0,0.95
2021-05-04,0.53,0.9
2021-05-05,1.42,0.89
2021-05-06,1.14,0.85
2021-05-07,1.38,0.86
2021-05-08,0.95,0.86
2021-05-09,0.69,0.83
2021-05-10,0.92,0.8
2021-05-11,1.29,0.91
2021-05-12,0.4,0.9
2021-05-13,2.14,0.94
2021-05-14,1.57,0.94
2021-05-15,0.6,0.86
2021-05-16,1.03,0.89
2021-05-17,1.1,0.95
2021-05-18,0.68,0.83
2021-05-19,1.18,0.94
2021-05-20,1.51,0.99
2021-05-21,0.73,0.9
2021-05-22,0.88,0.95
2021-05-23,1.02,0.93
2021-05-24,0.81,0.86
2021-05-25,0.76,0.89
2021-05-26,0.78,0.78
2021-05-27,2.86,0.73
2021-05-28,0.94,0.82
2021-05-29,0.97,0.87
2021-05-30,0.82,0.89
2021-05-31,1.02,0.98
2021-06-01,0.72,1.03
2021-06-02,0.84,1.14
2021-06-03,1.51,1.1
2021-06-04,0.87,1.0
2021-06-05,1.11,0.91
2021-06-06,0.94,0.88
2021-06-07,0.97,0.82
2021-06-08,1.05,0.83
2021-06-09,0.76,0.81
2021-06-10,1.62,0.88
2021-06-11,1.05,0.99
2021-06-12,0.88,1.06
2021-06-13,0.72,1.07
2021-06-14,1.17,1.11
2021-06-15,0.62,1.02
2021-06-16,1.1,1.0
2021-06-17,2.21,1.01
2021-06-18,0.77,0.93
2021-06-19,1.16,0.94
2021-06-20,0.7,0.97
2021-06-21,0.73,0.93
2021-06-22,1.15,1.01
2021-06-23,0.46,0.98
2021-06-24,1.86,0.83
2021-06-25,1.33,0.81
2021-06-26,1.22,0.76
2021-06-27,0.61,0.71
2021-06-28,1.08,0.74
2021-06-29,1.15,0.73
2021-06-30,0.46,0.77
2021-07-01,1.17,0.84
2021-07-02,1.71,0.85
2021-07-03,0.78,0.8
2021-07-04,1.29,0.86
2021-07-05,1.05,0.87
2021-07-06,0.54,0.79
