Fecha,Cupos en residencias,Usuarios en residencias
2020-10-08,1420.0,1511.0
2020-10-09,1420.0,1375.0
2020-10-10,1420.0,1386.0
2020-10-11,1420.0,1473.0
2020-10-12,1420.0,1286.0
2020-10-13,1420.0,1318.0
2020-10-14,1422.0,1292.0
2020-10-15,1422.0,1335.0
2020-10-16,1650.0,1383.0
2020-10-17,1633.0,1484.0
2020-10-18,1633.0,1600.0
2020-10-19,1633.0,1458.0
2020-10-20,1653.0,1464.0
2020-10-21,1678.0,1426.0
2020-10-22,1678.0,1559.0
2020-10-23,1678.0,1632.0
2020-10-24,1918.0,1748.0
2020-10-25,1918.0,1778.0
2020-10-26,1918.0,1887.0
2020-10-27,1918.0,1716.0
2020-10-28,1918.0,1808.0
2020-10-29,2044.0,1898.0
2020-10-30,2044.0,1828.0
2020-10-31,2143.0,1814.0
2020-11-01,2282.0,1841.0
2020-11-02,2282.0,1775.0
2020-11-03,1941.0,1877.0
2020-11-04,2058.0,1985.0
2020-11-05,2138.0,1994.0
2020-11-06,2116.0,1371.0
2020-11-07,2107.0,1249.0
2020-11-08,2107.0,1163.0
2020-11-09,1977.0,1598.0
2020-11-10,2077.0,1652.0
2020-11-11,2007.0,1639.0
2020-11-12,2100.0,1594.0
2020-11-13,2036.0,1592.0
2020-11-14,2036.0,1537.0
2020-11-15,2024.0,1421.0
2020-11-16,2028.0,1645.0
2020-11-17,1937.0,1444.0
2020-11-18,1991.0,1557.0
2020-11-19,1989.0,1659.0
2020-11-20,1989.0,1685.0
2020-11-21,1968.0,1464.0
2020-11-22,2006.0,1653.0
2020-11-23,2004.0,1736.0
2020-11-24,1970.0,1355.0
2020-11-25,1964.0,1409.0
2020-11-26,1964.0,1430.0
2020-11-27,1921.0,1503.0
2020-11-28,1921.0,1402.0
2020-11-29,1893.0,1357.0
2020-11-30,1915.0,1465.0
2020-12-01,1915.0,1330.0
2020-12-02,1985.0,1398.0
2020-12-03,1995.0,1591.0
2020-12-04,2021.0,1639.0
2020-12-05,1947.0,1303.0
2020-12-06,1832.0,1399.0
2020-12-07,1832.0,1341.0
2020-12-08,1808.0,1152.0
2020-12-09,1808.0,1344.0
2020-12-10,1803.0,1288.0
2020-12-11,1744.0,1360.0
2020-12-12,1814.0,1598.0
2020-12-13,1875.0,1727.0
2020-12-14,1861.0,1720.0
2020-12-15,1676.0,1764.0
2020-12-16,1689.0,1648.0
2020-12-17,1726.0,1717.0
2020-12-18,1871.0,1689.0
2020-12-19,2049.0,1661.0
2020-12-20,2049.0,1590.0
2020-12-21,2012.0,1301.0
2020-12-22,2009.0,1398.0
2020-12-23,1992.0,1089.0
2020-12-24,2006.0,929.0
2020-12-25,1984.0,858.0
2020-12-26,1984.0,827.0
2020-12-27,1984.0,820.0
2020-12-28,1984.0,704.0
2020-12-29,1984.0,677.0
2020-12-30,1984.0,629.0
2020-12-31,1969.0,605.0
2021-01-01,1969.0,586.0
2021-01-02,1933.0,623.0
2021-01-03,1933.0,616.0
2021-01-04,1933.0,613.0
2021-01-05,2493.0,562.0
2021-01-06,1800.0,561.0
2021-01-07,1800.0,646.0
2021-01-08,1615.0,671.0
2021-01-09,1615.0,794.0
2021-01-10,1615.0,859.0
2021-01-11,1615.0,847.0
2021-01-12,1615.0,853.0
2021-01-13,1615.0,859.0
2021-01-14,1615.0,969.0
2021-01-15,1615.0,1010.0
2021-01-16,1615.0,1137.0
2021-01-17,1615.0,1127.0
2021-01-18,1615.0,1168.0
2021-01-19,1615.0,1195.0
2021-01-20,1615.0,1216.0
2021-01-21,1615.0,1258.0
2021-01-22,1615.0,1314.0
2021-01-23,1615.0,1218.0
2021-01-24,1615.0,1101.0
2021-01-25,1615.0,1358.0
2021-01-26,1925.0,1700.0
2021-01-27,1925.0,1789.0
2021-01-28,1925.0,1921.0
2021-01-29,1975.0,1935.0
2021-01-30,1975.0,1884.0
2021-01-31,2123.0,2223.0
2021-02-01,2198.0,2296.0
2021-02-02,2288.0,2304.0
2021-02-03,2077.0,1963.0
2021-02-04,2107.0,1974.0
2021-02-05,2107.0,2228.0
2021-02-06,2136.0,2337.0
2021-02-07,2136.0,2555.0
2021-02-08,2263.0,2778.0
2021-02-09,2262.0,2566.0
2021-02-10,2343.0,2438.0
2021-02-11,2343.0,2185.0
2021-02-12,2423.0,2298.0
2021-02-13,2423.0,2380.0
2021-02-14,2423.0,2308.0
2021-02-15,2593.0,2414.0
2021-02-16,562.0,388.0
2021-02-17,562.0,391.0
2021-02-18,562.0,414.0
2021-02-19,552.0,399.0
2021-02-20,552.0,403.0
2021-02-21,552.0,403.0
2021-02-22,552.0,396.0
2021-02-23,552.0,372.0
2021-02-24,552.0,402.0
2021-02-25,552.0,423.0
2021-02-26,552.0,413.0
2021-02-27,552.0,412.0
2021-02-28,552.0,431.0
2021-03-01,552.0,414.0
2021-03-02,552.0,375.0
2021-03-03,552.0,361.0
2021-03-04,552.0,395.0
2021-03-05,552.0,399.0
2021-03-06,552.0,418.0
2021-03-07,552.0,399.0
2021-03-08,552.0,380.0
2021-03-09,552.0,354.0
2021-03-10,552.0,380.0
2021-03-11,552.0,388.0
2021-03-12,552.0,386.0
2021-03-13,552.0,354.0
2021-03-14,552.0,348.0
2021-03-15,552.0,357.0
2021-03-16,552.0,339.0
2021-03-17,552.0,361.0
2021-03-18,552.0,374.0
2021-03-19,552.0,347.0
2021-03-20,552.0,363.0
2021-03-21,552.0,393.0
2021-03-22,552.0,389.0
2021-03-23,552.0,382.0
2021-03-24,552.0,407.0
2021-03-25,552.0,428.0
2021-03-26,552.0,435.0
2021-03-27,552.0,468.0
2021-03-28,552.0,460.0
2021-03-29,552.0,453.0
2021-03-30,552.0,447.0
2021-03-31,552.0,424.0
2021-04-01,552.0,430.0
2021-04-02,552.0,388.0
2021-04-03,552.0,451.0
2021-04-04,552.0,445.0
2021-04-05,552.0,416.0
2021-04-06,552.0,393.0
2021-04-07,552.0,390.0
2021-04-08,552.0,430.0
2021-04-09,552.0,477.0
2021-04-10,578.0,467.0
2021-04-11,578.0,501.0
2021-04-12,578.0,459.0
2021-04-13,578.0,422.0
2021-04-14,578.0,453.0
2021-04-15,578.0,477.0
2021-04-16,578.0,460.0
2021-04-17,603.0,490.0
2021-04-18,603.0,479.0
2021-04-19,603.0,457.0
2021-04-20,603.0,425.0
2021-04-21,603.0,451.0
2021-04-22,603.0,484.0
2021-04-23,603.0,452.0
2021-04-24,603.0,515.0
2021-04-25,603.0,516.0
2021-04-26,603.0,529.0
2021-04-27,603.0,500.0
2021-04-28,604.0,525.0
2021-04-29,604.0,520.0
2021-04-30,604.0,482.0
2021-05-01,604.0,460.0
2021-05-02,604.0,455.0
2021-05-03,604.0,450.0
2021-05-04,604.0,378.0
2021-05-05,604.0,392.0
2021-05-06,604.0,423.0
2021-05-07,604.0,406.0
2021-05-08,604.0,441.0
2021-05-09,604.0,467.0
2021-05-10,604.0,471.0
2021-05-11,604.0,415.0
2021-05-12,604.0,482.0
2021-05-13,604.0,487.0
2021-05-14,604.0,485.0
2021-05-15,596.0,486.0
2021-05-16,596.0,461.0
2021-05-17,596.0,451.0
2021-05-18,596.0,432.0
2021-05-19,596.0,454.0
2021-05-20,602.0,474.0
2021-05-21,600.0,484.0
2021-05-22,578.0,453.0
2021-05-23,575.0,422.0
2021-05-24,574.0,413.0
2021-05-25,574.0,368.0
2021-05-26,597.0,398.0
2021-05-27,594.0,418.0
2021-05-28,595.0,429.0
2021-05-29,599.0,428.0
2021-05-30,599.0,435.0
2021-05-31,599.0,412.0
2021-06-01,599.0,396.0
2021-06-02,599.0,420.0
2021-06-03,598.0,431.0
2021-06-04,596.0,439.0
2021-06-05,565.0,429.0
2021-06-06,565.0,438.0
2021-06-07,564.0,406.0
2021-06-08,569.0,359.0
2021-06-09,569.0,367.0
2021-06-10,597.0,399.0
2021-06-11,597.0,422.0
2021-06-12,571.0,419.0
2021-06-13,571.0,423.0
2021-06-14,571.0,377.0
2021-06-15,571.0,338.0
2021-06-16,604.0,359.0
2021-06-17,604.0,402.0
2021-06-18,604.0,390.0
2021-06-19,604.0,432.0
2021-06-20,604.0,450.0
2021-06-21,604.0,458.0
2021-06-22,604.0,391.0
2021-06-23,604.0,387.0
2021-06-24,604.0,422.0
2021-06-25,604.0,401.0
2021-06-26,604.0,417.0
2021-06-27,604.0,429.0
2021-06-28,604.0,405.0
2021-06-29,604.0,357.0
2021-06-30,604.0,371.0
2021-07-01,604.0,402.0
2021-07-02,604.0,445.0
2021-07-03,604.0,389.0
2021-07-04,604.0,357.0
2021-07-05,604.0,349.0
2021-07-06,604.0,318.0
2021-07-07,604.0,314.0
2021-07-08,604.0,354.0
2021-07-09,604.0,391.0
2021-07-10,604.0,412.0
2021-07-11,604.0,420.0
2021-07-12,604.0,385.0
2021-07-13,604.0,342.0
2021-07-14,604.0,310.0
2021-07-15,604.0,305.0
2021-07-16,604.0,297.0
2021-07-17,604.0,285.0
2021-07-18,604.0,290.0
2021-07-19,604.0,275.0
2021-07-20,604.0,252.0
2021-07-21,604.0,259.0
